Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,A250_A365,A254_A436,A254,S275-295,S350-400,SR,UV254,SUVA,BP,BP-N,BP CN ratio,HS,HS-N,HS CN ratio,Aromaticity,Molecularity,BB,LMWA,LMWN
10.6,23.6,7.3,289,7.4,2,7.8,51.6,4.425,0.45,4.873,4.112,0.142,3.051,0.239,0.4,5.39,16.78,0.027,0.0139,0.018,0.768,0.134,3.26,46,47,1.01,1801,177,0.1,5.44,671,1298,55,3457
12.5,23.5,7.5,407,7.6,1.5,5.1,17.5,5.91,0.215,4.182,2.904,0.131,4.298,0.126,0.4,8.49,36.31,0.019,0.0161,0.0229,0.702,0.074,2.55,36,7,0.18,1139,94,0.08,3.88,776,898,0,717
6.3,21.8,7.5,386,7.9,0.8,6,14.5,5.97,0.255,4.245,3.37,0.103,4.654,0.164,0.2,7.48,38.82,0.022,0.0148,0.0243,0.608,0.087,2.58,21,4,0.19,1375,107,0.08,4.18,781,1009,20,775
3.1,17.8,7.4,429,9.7,0.7,4.3,7.1,6.981,0.213,3.124,2.679,0.152,5.504,0.163,0.2,7.8,35.96,0.017,0.0145,0.0221,0.654,0.069,2.58,21,2,0.07,1039,89,0.09,3.99,790,910,0,619
4,15.1,7.4,437,9.6,0.9,4.3,9.4,7.281,0.156,3.074,2.949,0.194,5.824,0.097,0.3,7.45,24.47,0.014,0.013,0.0254,0.51,0.056,1.89,31,2,0.06,1007,91,0.09,3.75,790,904,0,643
4.5,14.4,7.5,425,9,1.1,4.1,7.1,6.987,0.15,3.213,2.219,0.101,5.89,0.107,0.3,4.04,6.24,0.017,0.0104,0.0098,1.061,0.068,3.07,33,7,0.21,996,89,0.09,3.75,786,926,0,632
2.7,11.9,7.5,413,10.9,0.9,4.9,7.8,5.739,0.162,3.509,3.211,0.112,4.96,0.107,0.3,5.33,14.99,0.018,0.0088,0.0178,0.494,0.071,2.22,65,9,0.14,1272,108,0.09,3.76,785,1076,11,971
1.7,7.8,7.4,437,11.6,0.8,4,5.4,8.112,0.111,2.692,2.58,0.179,6.444,0.073,0.3,4.95,10.35,0.012,0.0061,0.0144,0.426,0.046,1.8,11,7,0.65,889,54,0.06,3.33,623,722,0,571
3.3,5.3,7.5,584,11.6,8.4,6.8,7.3,8.715,0.189,3.199,3.002,0.361,6.442,0.117,2.6,6.58,18.3,0.021,0.0173,0.0161,1.078,0.082,2.73,56,12,0.21,995,63,0.06,3.28,622,861,0,1061
2.5,4.9,7.4,475,11.9,1.4,9.2,9.2,8.298,0.12,2.859,2.468,0.208,6.662,0.054,0.5,6.61,22.63,0.014,0.0133,0.0206,0.644,0.056,2.27,54,7,0.13,806,65,0.08,2.97,753,718,0,597
16.6,6.5,7.5,435,11.2,2.1,4,11.2,7.65,0.205,4.391,3.855,0.282,5.142,0.114,0.5,4.92,10.35,0.029,0.0138,0.0132,1.042,0.114,2.96,91,17,0.19,1488,101,0.07,3.56,638,1120,0,901
2.2,3.8,7.7,411,12.2,1.5,4.2,10.8,8.51,0.155,3.311,2.84,0.318,6.728,0.092,0.5,7.05,22.19,0.036,0.019,0.0188,1.01,0.071,2.52,33,6,0.18,896,89,0.1,3.8,785,821,0,690
1.9,2.4,7.6,472,13.2,0.7,3.6,7.4,8.12,0.116,2.656,2.392,0.467,6.552,0.059,0.3,5.97,15.42,0.023,0.0117,0.0154,0.758,0.045,1.88,39,7,0.18,689,54,0.08,2.98,780,694,0,527
2.2,4.1,7.5,466,12,1.8,3.9,8.1,9.27,0.135,3.859,2.653,0.771,6.614,0.073,0.5,6.61,21.43,0.023,0.0126,0.0184,0.683,0.046,1.73,51,5,0.1,765,61,0.08,2.9,757,742,0,775
5.3,4.6,7.6,551,11.8,2.2,6.2,12.6,7.885,0.18,3.857,3.471,0.789,5.972,0.09,0.6,5.57,13.24,0.037,0.0132,0.0158,0.833,0.074,2.12,130,27,0.21,1083,93,0.09,3.11,852,974,0,722
4.6,7.6,7.5,463,10.3,2.5,4.6,5.1,8.745,0.12,2.856,2.621,0.343,6.454,0.045,0.9,7.61,37.39,0.025,0.0139,0.0223,0.622,0.049,1.88,61,22,0.37,814,87,0.11,3.35,834,806,0,678
3,6.3,7.4,427,11.6,1.8,5.2,13,9.2,0.19,3.502,3.092,0.523,6.318,0.096,0.5,6.2,20.34,0.034,0.0133,0.0188,0.705,0.068,2.18,73,24,0.33,1038,81,0.08,3.95,624,978,0,761
2.5,6.5,7.5,434,11.8,1.1,4.7,7.8,9.23,0.155,3.169,2.56,0.407,6.328,0.077,0.3,4.77,11.48,0.038,0.0115,0.0144,0.803,0.075,2.93,60,7,0.13,813,54,0.07,3.67,829,796,0,656
2.4,6.9,7.5,423,12.1,1.8,4.6,8.2,7.71,0.115,3.343,2.685,0.527,5.848,0.06,0.5,5.22,14.03,0.032,0.012,0.0156,0.771,0.065,2.41,96,23,0.24,845,77,0.09,2.98,631,759,0,757
3,6.9,7.6,550,11,3.2,6,9.4,8.89,0.185,4.712,3.689,0.517,6.588,0.069,0.7,4.47,8.15,0.051,0.013,0.011,1.185,0.102,2.76,122,30,0.24,1129,98,0.09,3.35,636,1048,8,1216
8.5,9.4,7.5,362,10.4,4.1,7.8,20.2,6.835,0.26,5.155,4.324,0.532,4.594,0.112,0.8,5.93,19.62,0.047,0.0145,0.0186,0.783,0.095,2.2,172,39,0.22,1511,139,0.09,3.84,883,1363,51,833
9.5,14.4,7.5,471,8.4,2.6,6,14.7,6.835,0.26,3.902,3.388,0.375,5.63,0.056,0.7,4.61,8.64,0.046,0.0136,0.0114,1.199,0.092,2.71,120,34,0.28,1087,98,0.09,3.68,833,962,5,1174
6.6,18.2,7.7,378,9.8,3.1,8.4,23.7,5.12,0.27,6.053,5.066,0.33,3.79,0.128,0.5,5.17,13.5,0.066,0.0144,0.0156,0.922,0.133,2.62,311,62,0.2,2444,162,0.07,3.49,788,1132,0,1056
9.5,19.3,7.7,512,9.7,2,6.5,7.9,4.458,0.146,5.098,4.096,0.324,1.596,0.074,0.4,5.25,10.84,0.021,0.0152,0.0128,1.183,0.085,2.07,179,36,0.2,1427,85,0.06,1.72,374,468,0,809
8.6,21.4,8.3,588,12,1.8,6.8,3.9,4.35,0.141,4.641,4.273,2.958,0.345,0.093,0.4,4.61,9.7,0.027,0.0137,0.0125,1.097,0.107,2.51,238,39,0.17,1603,91,0.06,1.68,365,605,0,797
13.7,16,8.7,753,13.6,2.9,7.8,4.9,4.416,0.117,5.471,4.832,0.145,2.08,0.052,0.5,4.82,9.38,0.034,0.0156,0.0121,1.283,0.136,2.82,116,23,0.2,889,49,0.06,1.78,384,337,0,520
30.3,24.1,9.6,489,17.7,3,9,9.9,3.444,0.135,6.745,5.928,0.145,2.08,0.043,0.4,6.24,18.83,0.031,0.0168,0.0172,0.973,0.125,2.11,319,75,0.24,2207,164,0.07,1.94,419,946,0,1067
4.2,21.1,7.8,528,7.6,2.6,10.7,15,4.836,0.21,7.428,6.598,0.642,2.693,0.127,0.4,6.71,22.13,0.043,0.0174,0.0186,0.933,0.171,2.59,287,58,0.2,2867,223,0.08,2.1,408,1002,0,1349
14.4,24.6,7.8,471,6.9,5.2,11.6,23.8,4.3,0.355,8.64,7.183,0.846,2.194,0.139,0.6,5.37,12.21,0.039,0.016,0.0138,1.158,0.194,2.69,244,47,0.19,2789,216,0.08,2.18,392,1059,0,1548
7.7,23.9,7.8,419,6.6,3.8,11.8,48.3,3.99,0.47,7.729,6.417,0.379,2.21,0.187,0.5,5.43,13.94,0.036,0.0155,0.0157,0.987,0.182,2.83,336,61,0.18,2874,219,0.08,2.45,473,925,0,1420
11.5,22.1,8,523,8.6,1.2,6.9,3.1,2.028,0.12,4.869,4.586,0.038,1.334,0.069,0.2,6.93,26.28,0.02,0.0173,0.0198,0.869,0.1,2.18,85,2,0.02,1659,121,0.07,2.99,223,1502,0,526
9.6,25.9,7.9,490,7.3,1.5,9,16.3,2.39,0.245,6.557,5.704,0.077,1.169,0.079,0.2,5.52,13.14,0.031,0.0163,0.0144,1.125,0.154,2.71,107,30,0.28,2196,188,0.09,2.9,206,1864,8,692
26.6,22.4,7.5,438,7.2,6.4,12.3,22.3,3.68,0.71,6.554,5.298,0.266,1.51,0.142,1,5.86,16.9,0.03,0.016,0.0165,0.967,0.149,2.81,109,66,0.61,1949,156,0.08,3.23,208,1786,84,716
20.9,23.8,7.2,160,7,8.3,18.9,225,4.34,1.46,8.834,4.574,0.174,1.47,0.297,0.9,3.75,8.4,0.049,0.0117,0.0125,0.936,0.244,5.34,89,28,0.31,1970,187,0.09,3.87,224,1315,13,538
6.1,23.6,7.3,178,7.5,3.2,9.3,72,7.99,0.93,6.796,4.385,0.238,2.266,0.203,0.5,3.98,10.46,0.037,0.0123,0.0154,0.794,0.185,4.21,81,10,0.13,1757,121,0.07,4.07,229,1441,25,676
7.1,26,7.4,384,7.5,1.4,5.6,12.6,6.66,0.275,4.539,4.026,0.207,5.326,0.159,0.3,7.78,39.6,0.02,0.0157,0.0218,0.723,0.099,2.46,19,15,0.79,1365,80,0.06,3.57,199,1217,0,427
10.7,29.3,7.5,439,7.1,0.9,6.2,8.5,4.725,0.195,4.589,3.994,0.085,3.738,0.151,0.2,4.69,10.59,0.026,0.0135,0.0138,0.983,0.129,3.23,63,14,0.22,1361,115,0.08,3.41,199,1186,10,625
16.4,29.6,8.1,479,7.7,0.9,5.4,5.7,3.83,0.188,4.064,3.393,0.046,3.256,0.146,0.2,7,26.4,0.019,0.0165,0.021,0.784,0.096,2.84,68,9,0.13,1178,84,0.07,2.96,225,1291,34,451
